Station ID,Station Name,Address,Total Docks,Docks in Service,Status,Longitude,Latitude
126,Michigan Ave & 14th St,Michigan Ave & 14th St,19,19,in service,-87.623727,41.864059
191,Michigan Ave & 18th St,Michigan Ave & 18th St,23,23,in service,-87.62455,41.857813
318,Michigan Ave & 8th St,Michigan Ave & 8th St,42,42,in service,-87.623981,41.872773
38,Michigan Ave & Congress Pkwy,420 w. Michigan,15,15,in service,-87.624426,41.876243
202,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,23,22,in service,-87.62408,41.87785
45,Michigan Ave & Lake St,203 N Michigan Ave,35,32,in service,-87.624117,41.886024
150,Michigan Ave & Madison St,Michigan Ave & Madison St,19,18,in service,-87.625125,41.882134
69,Michigan Ave & Oak St,140 E Oak St,23,23,in service,-87.62377664,41.90096039
19,Michigan Ave & Pearson St,150 E.Pearson st,23,19,in service,-87.62351,41.89766
36,Michigan Ave & Washington St,120 N Michigan,43,41,in service,-87.62464914,41.88389277
114,Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,19,18,in service,-87.62191523,41.89858665
131,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,15,15,in service,-87.621743,41.89691
274,Millard Ave & 26th St,Millard Ave & 26th St,6,5,in service,-87.71591031,41.84456685
73,Millennium Park,33 S Michigan Ave,47,43,in service,-87.62408432,41.8810317
68,Milwaukee Ave & Grand Ave,500 N Milwaukee Ave.,19,15,in service,-87.648384,41.891578
120,Milwaukee Ave & Wabansia Ave,Milwaukee Ave & Wabansia Ave,15,15,in service,-87.681391,41.912616
177,MLK Jr Dr & 29th St,MLK Jr Dr & 29th St,19,19,in service,-87.617,41.842052
153,MLK Jr Dr & 47th St,MLK Jr Dr & 47th St,11,11,in service,-87.616279,41.809851
136,MLK Jr Dr & Pershing Rd,Off Steet,15,13,in service,-87.61678,41.8246
109,Morgan Ave & 14th Pl,Morgan Ave & 14th Pl,15,15,in service,-87.651062,41.862378
8,Morgan St & 18th St,962 W. 18th St,15,15,in service,-87.651073,41.858086
198,Morgan St & 31st St,Morgan St & 31st St,11,11,in service,-87.65114,41.8378
59,Morgan St & Lake St,1003 W. Lake St.,23,22,in service,-87.65230486,41.88548331
306,Morgan St & Pershing Rd,Morgan St & Pershing Rd,11,10,in service,-87.650931,41.823613
178,Morgan St & Polk St,Morgan St & Polk St,19,19,in service,-87.65103,41.871737
23,Noble St & Milwaukee Ave,1016 N. Noble St,15,15,in service,-87.6626,41.90068
161,Normal Ave & Archer Ave,Normal Ave & Archer Ave,11,10,in service,-87.640591,41.849527
47,Ogden Ave & Chicago Ave,1040 W. Chicago Ave.,19,19,in service,-87.65406127,41.89636246
97,Ogden Ave & Congress Pkwy,Ogden Ave & Congress Pkwy,15,14,in service,-87.67328,41.87501
143,Ogden Ave & Race Ave,Ogden Ave & Race Ave,15,15,in service,-87.658751,41.891795
265,Ogden Ave & Roosevelt Rd,Ogden Ave & Roosevelt Rd,18,17,in service,-87.68469707,41.86650148
